policy_id,snapshot_date,issue_date,status,product_type,state,urbanicity,distribution_channel,payment_mode,autopay_flag,current_age,income_estimate,face_amount,annualized_premium,premium_paid_last_3m,missed_payment_count_6m,agent_touch_count_12m,cash_value,loan_balance,address_change_12m,irrelevant_marketing_score
P10113,2023-03-01,2019-06-01,active,Term Life,CA,urban,Broker,quarterly,1,31.8,79234.44,250000,191.85,143.89,0,3,0.0,0.0,1,96
P10132,2023-03-01,2019-11-01,active,Whole Life,PA,urban,Agent,annual,0,30.3,104882.32,500000,124.18,372.55,0,1,445.17,0.0,0,32
P10015,2023-11-01,2021-06-01,active,Universal Life,NJ,suburban,Broker,monthly,1,39.4,36974.67,100000,300.0,75.0,0,2,73.13,0.0,0,67
P10058,2023-05-01,2018-10-01,active,Indexed Universal Life,TX,suburban,Direct,monthly,1,56.6,56099.99,150000,632.89,158.22,0,0,368.44,0.0,0,16
P10122,2024-12-01,2016-05-01,active,Term Life,AZ,urban,Agent,monthly,0,45.6,50165.09,750000,3983.07,995.77,1,1,0.0,0.0,0,2
P10155,2023-04-01,2019-07-01,active,Term Life,GA,suburban,Agent,monthly,1,33.8,69777.22,750000,1668.47,417.12,0,1,0.0,0.0,0,67
P10008,2023-03-01,2020-04-01,active,Term Life,TX,urban,Broker,monthly,0,54.9,24509.68,100000,526.4,131.6,0,2,0.0,0.0,0,41
P10122,2024-11-01,2016-05-01,active,Term Life,AZ,urban,Agent,monthly,0,45.5,50165.09,750000,3983.07,663.85,1,0,0.0,0.0,0,51
P10197,2024-07-01,2022-11-01,active,Term Life,IL,urban,Broker,monthly,0,44.7,49699.94,100000,545.17,136.29,0,3,0.0,0.0,0,14
P10074,2023-12-01,2015-09-01,active,Universal Life,FL,suburban,Agent,monthly,0,67.2,34447.06,500000,1669.94,417.48,2,2,862.74,0.0,0,78
P10203,2023-02-01,2014-06-01,active,Term Life,FL,rural,Agent,monthly,1,42.7,33648.72,1000000,6765.01,1691.25,0,3,0.0,0.0,0,94
P10098,2023-08-01,2021-09-01,active,Whole Life,NY,suburban,Agent,annual,1,49.9,26927.72,500000,234.21,702.64,0,3,549.67,0.0,0,49
P10116,2024-04-01,2021-03-01,active,Universal Life,PA,urban,Broker,monthly,1,49.1,50255.64,100000,496.16,124.04,1,2,236.22,0.0,0,49
P10103,2023-12-01,2023-03-01,active,Whole Life,IL,urban,Bank,quarterly,1,66.8,70359.49,100000,163.19,122.39,1,3,38.68,0.0,0,27
P10127,2024-02-01,2023-07-01,active,Indexed Universal Life,NY,rural,Agent,monthly,0,37.6,59955.46,750000,3983.43,663.91,0,2,360.81,0.0,0,81
P10096,2024-07-01,2018-07-01,active,Indexed Universal Life,PA,rural,Agent,annual,1,68.0,30193.67,500000,203.07,609.21,0,0,2132.19,0.0,0,39
P10069,2023-09-01,2014-12-01,active,Universal Life,AZ,suburban,Agent,monthly,1,36.8,75967.71,100000,511.42,127.85,0,0,484.54,0.0,0,73
P10197,2024-04-01,2022-11-01,active,Term Life,IL,urban,Broker,monthly,0,44.4,49699.94,100000,545.17,136.29,1,3,0.0,0.0,0,36
P10110,2024-04-01,2019-08-01,active,Universal Life,OH,urban,Bank,monthly,1,46.7,,500000,3554.52,888.63,1,1,1301.81,0.0,0,10
P10167,2024-05-01,2019-08-01,active,Whole Life,CA,suburban,Broker,monthly,1,46.8,64024.73,1000000,4085.09,680.85,0,4,3205.41,0.0,0,93
P10020,2024-09-01,2018-11-01,active,Universal Life,NJ,urban,Agent,monthly,0,79.8,16916.4,250000,2336.49,584.12,4,2,1478.93,790.16,0,4
P10120,2023-01-01,2018-07-01,active,Whole Life,AZ,rural,Broker,monthly,1,41.5,59426.61,150000,1106.5,276.63,0,3,699.21,0.0,0,85
P10077,2024-09-01,2018-01-01,active,Whole Life,IL,suburban,Broker,quarterly,0,79.7,35343.24,750000,2187.0,1640.25,0,2,2930.91,0.0,0,2
P10047,2024-01-01,2021-11-01,active,Universal Life,CA,suburban,Broker,monthly,0,30.2,196426.17,750000,1773.47,295.58,0,2,646.56,0.0,0,79
P10136,2024-12-01,2014-11-01,active,Universal Life,FL,suburban,Agent,quarterly,0,80.1,33837.34,500000,971.22,728.41,0,2,4349.02,0.0,0,28
P10086,2023-11-01,2014-10-01,active,Term Life,TX,urban,Broker,monthly,1,56.1,47703.61,1000000,7775.97,1943.99,0,4,0.0,0.0,0,89
P10164,2023-11-01,2023-09-01,active,Term Life,AZ,urban,Agent,monthly,1,32.2,43065.72,100000,669.63,167.41,0,2,0.0,0.0,0,26
P10200,2024-10-01,2022-07-01,active,Term Life,CA,suburban,Agent,monthly,0,61.2,22183.77,150000,473.67,118.42,0,1,0.0,0.0,0,73
P10091,2023-03-01,2020-10-01,active,Term Life,PA,suburban,Agent,annual,1,64.4,77491.51,1000000,258.71,776.13,0,3,0.0,0.0,0,30
P10206,2023-02-01,2021-12-01,active,Term Life,AZ,rural,Agent,monthly,1,68.2,50550.68,500000,4901.09,1225.27,1,3,0.0,0.0,0,9
P10198,2024-12-01,2022-02-01,active,Whole Life,AZ,urban,Direct,monthly,1,71.8,,250000,1556.73,389.18,0,1,471.19,0.0,0,1
P10213,2023-11-01,2016-11-01,active,Term Life,AZ,urban,Agent,monthly,1,58.0,27383.47,500000,1271.95,317.99,0,0,0.0,0.0,0,56
P10144,2024-05-01,2015-05-01,active,Whole Life,AZ,urban,Broker,monthly,1,71.0,44771.43,100000,608.07,152.02,2,2,799.2,0.0,0,56
P10123,2023-05-01,2019-01-01,active,Universal Life,IL,rural,Agent,monthly,1,36.3,25770.05,100000,300.0,75.0,0,1,82.1,0.0,0,76
P10056,2024-12-01,2017-05-01,active,Indexed Universal Life,OH,urban,Agent,monthly,1,50.6,33730.7,100000,638.47,159.62,1,1,484.47,0.0,0,61
P10047,2023-02-01,2021-11-01,active,Universal Life,CA,suburban,Broker,monthly,0,29.2,196426.17,750000,1773.47,443.37,0,1,255.68,0.0,0,45
P10181,2023-07-01,2015-02-01,active,Term Life,PA,rural,Broker,monthly,0,61.4,39626.25,750000,4223.15,703.86,1,5,0.0,0.0,0,13
P10134,2023-03-01,2014-06-01,active,Term Life,AZ,urban,Direct,quarterly,1,33.8,70626.29,250000,333.07,249.8,0,7,0.0,0.0,0,14
P10032,2024-06-01,2019-12-01,active,Term Life,GA,suburban,Broker,monthly,1,43.5,119223.6,100000,707.28,117.88,0,1,0.0,0.0,0,10
P10003,2023-07-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.4,47367.05,100000,515.91,128.98,1,1,27.26,0.0,1,17
P10031,2024-06-01,2018-09-01,active,Term Life,NY,urban,Bank,monthly,0,79.8,85299.84,500000,1698.13,424.53,0,0,0.0,0.0,0,17
P10121,2023-06-01,2019-05-01,active,Universal Life,AZ,suburban,Agent,annual,0,74.1,43849.13,750000,342.22,1026.67,0,3,1150.58,0.0,0,31
P10196,2023-12-01,2020-11-01,active,Term Life,OH,suburban,Agent,quarterly,0,68.1,93520.43,1000000,2632.2,1316.1,1,1,0.0,0.0,0,46
P10013,2024-05-01,2022-02-01,active,Term Life,CA,suburban,Bank,quarterly,1,54.2,59332.08,250000,578.03,289.01,0,0,0.0,0.0,0,49
P10128,2023-12-01,2015-04-01,active,Universal Life,NJ,suburban,Bank,monthly,1,83.7,,750000,3572.06,893.02,0,1,4899.65,0.0,0,90
P10058,2023-08-01,2018-10-01,active,Indexed Universal Life,TX,suburban,Direct,monthly,1,56.8,56099.99,150000,632.89,158.22,0,0,235.52,0.0,0,99
P10008,2023-04-01,2020-04-01,active,Term Life,TX,urban,Broker,monthly,0,55.0,24509.68,100000,526.4,131.6,0,4,0.0,0.0,0,75
P10008,2024-10-01,2020-04-01,active,Term Life,TX,urban,Broker,monthly,0,56.5,24509.68,100000,526.4,87.73,0,2,0.0,0.0,0,80
P10063,2023-02-01,2016-04-01,active,Term Life,PA,urban,Broker,monthly,1,70.8,23462.57,250000,1156.75,289.19,0,1,0.0,0.0,0,93
P10025,2024-04-01,2020-07-01,active,Term Life,FL,urban,Agent,annual,0,56.8,47527.0,250000,135.48,406.44,3,2,0.0,0.0,1,18
P10096,2024-02-01,2018-07-01,active,Indexed Universal Life,PA,rural,Agent,annual,1,67.6,30193.67,500000,203.07,609.21,1,0,849.01,178.97,0,75
P10053,2024-04-01,2017-06-01,active,Whole Life,TX,suburban,Agent,monthly,0,41.8,53087.36,500000,2842.85,710.71,0,4,1568.06,0.0,0,11
P10218,2024-07-01,2020-11-01,active,Term Life,NY,rural,Broker,quarterly,1,29.7,78916.56,500000,804.03,603.02,1,1,0.0,0.0,0,73
P10060,2023-10-01,2022-04-01,active,Universal Life,TX,urban,Broker,annual,0,60.5,124088.78,250000,118.63,237.26,1,0,372.9,0.0,0,89
P10208,2024-07-01,2014-05-01,active,Universal Life,TX,urban,Agent,monthly,0,84.2,54756.56,500000,5081.98,1270.49,0,4,5388.35,0.0,0,55
P10016,2024-07-01,2018-09-01,active,Term Life,OH,urban,Broker,monthly,0,49.8,41712.98,1000000,5899.1,983.18,0,4,0.0,0.0,0,96
P10032,2024-09-01,2019-12-01,active,Term Life,GA,suburban,Broker,monthly,1,43.8,119223.6,100000,707.28,176.82,0,1,0.0,0.0,0,98
P10218,2023-05-01,2020-11-01,active,Term Life,NY,rural,Broker,quarterly,1,28.5,78916.56,500000,804.03,603.02,0,2,0.0,0.0,0,3
P10054,2023-01-01,2020-12-01,active,Term Life,FL,suburban,Agent,annual,1,70.1,37402.19,250000,117.85,353.55,0,0,0.0,0.0,0,78
P10218,2023-09-01,2020-11-01,active,Term Life,NY,rural,Broker,quarterly,1,28.8,,500000,804.03,402.01,0,2,0.0,0.0,0,89
P10096,2024-10-01,2018-07-01,active,Indexed Universal Life,PA,rural,Agent,annual,1,68.2,30193.67,500000,203.07,609.21,0,1,1759.74,0.0,0,16
P10049,2024-03-01,2018-02-01,active,Whole Life,TX,urban,Agent,monthly,1,50.1,,100000,300.0,75.0,0,3,138.99,0.0,0,9
P10122,2024-08-01,2016-05-01,active,Term Life,AZ,urban,Agent,monthly,0,45.2,50165.09,750000,3983.07,995.77,0,1,0.0,0.0,0,68
P10064,2023-07-01,2019-09-01,active,Whole Life,NY,urban,Broker,quarterly,0,76.8,,750000,1229.0,614.5,0,0,1429.31,0.0,0,45
P10040,2024-12-01,2019-06-01,active,Whole Life,OH,rural,Direct,monthly,0,43.5,84603.93,250000,870.07,217.52,5,2,476.8,0.0,0,2
P10113,2023-09-01,2019-06-01,active,Term Life,CA,urban,Broker,quarterly,1,32.2,79234.44,250000,191.85,143.89,0,3,0.0,0.0,0,89
P10079,2023-03-01,2022-10-01,active,Universal Life,AZ,suburban,Broker,monthly,0,46.4,,150000,1094.38,273.59,0,0,37.05,0.0,0,22
P10152,2023-03-01,2016-02-01,active,Universal Life,CA,suburban,Direct,monthly,0,41.1,61931.47,150000,642.69,160.67,0,2,781.13,0.0,0,69
P10178,2023-11-01,2017-02-01,active,Whole Life,OH,urban,Broker,quarterly,0,75.8,66846.72,250000,664.94,498.71,2,3,1334.47,0.0,0,49
P10051,2024-07-01,2014-03-01,active,Universal Life,TX,urban,Broker,annual,0,48.3,69085.61,500000,95.15,285.44,0,0,1368.52,0.0,0,21
P10101,2024-11-01,2017-08-01,active,Indexed Universal Life,FL,suburban,Agent,annual,0,47.2,57421.5,250000,66.61,199.82,2,5,926.33,0.0,0,74
P10061,2023-09-01,2016-05-01,active,Term Life,GA,suburban,Broker,monthly,1,54.3,35074.01,250000,1418.1,236.35,0,1,0.0,0.0,0,87
