policy_id,snapshot_date,issue_date,status,product_type,state,urbanicity,distribution_channel,payment_mode,autopay_flag,current_age,income_estimate,face_amount,annualized_premium,premium_paid_last_3m,missed_payment_count_6m,agent_touch_count_12m,cash_value,loan_balance,address_change_12m,beneficiary_change_12m,lapse_next_month
P10002,2023-12-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.3,59820.29,250000,2060.25,515.06,0,1,201.75,0.0,0,0,0
P10002,2024-01-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.4,59820.29,250000,2060.25,343.38,0,0,273.18,0.0,0,0,0
P10002,2024-02-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.5,59820.29,250000,2060.25,515.06,0,0,400.97,0.0,0,0,0
P10002,2024-03-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.6,59820.29,250000,2060.25,515.06,1,1,512.75,0.0,0,0,0
P10002,2024-04-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.7,59820.29,250000,2060.25,343.38,0,0,257.24,0.0,0,0,0
P10002,2024-05-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.8,59820.29,250000,2060.25,515.06,0,1,303.56,0.0,0,0,0
P10002,2024-06-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.8,59820.29,250000,2060.25,515.06,0,1,397.48,0.0,0,0,0
P10002,2024-07-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.9,59820.29,250000,2060.25,515.06,0,0,292.32,120.98,0,0,0
P10002,2024-08-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,58.0,59820.29,250000,2060.25,515.06,0,0,322.23,0.0,0,0,0
P10002,2024-09-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,58.1,59820.29,250000,2060.25,515.06,0,1,314.51,0.0,0,0,0
P10002,2024-10-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,58.2,59820.29,250000,2060.25,515.06,0,2,558.55,0.0,0,0,0
P10002,2024-11-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,58.2,59820.29,250000,2060.25,515.06,0,1,618.27,0.0,0,0,0
P10002,2024-12-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,58.3,59820.29,250000,2060.25,515.06,0,0,533.1,0.0,0,1,0
P10003,2023-01-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.0,47367.05,100000,515.91,85.99,0,0,0.0,0.0,0,0,0
P10003,2023-02-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.0,47367.05,100000,515.91,128.98,1,1,0.0,0.0,0,0,0
P10003,2023-03-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.1,47367.05,100000,515.91,128.98,2,0,5.45,0.0,0,0,0
P10003,2023-04-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.2,47367.05,100000,515.91,128.98,2,1,9.99,0.0,0,0,0
P10003,2023-05-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.2,47367.05,100000,515.91,128.98,2,1,19.58,0.0,0,0,0
P10003,2023-06-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.3,47367.05,100000,515.91,85.99,2,0,28.21,0.0,0,0,0
P10003,2023-07-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.4,47367.05,100000,515.91,128.98,1,1,27.26,0.0,1,0,0
P10003,2023-08-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.5,47367.05,100000,515.91,128.98,1,0,18.17,0.0,0,0,0
P10003,2023-09-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.6,47367.05,100000,515.91,128.98,2,1,30.19,0.0,0,0,0
P10003,2023-10-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.7,47367.05,100000,515.91,85.99,1,0,52.82,0.0,0,0,0
P10003,2023-11-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.8,47367.05,100000,515.91,128.98,1,0,41.91,0.0,0,0,0
P10003,2023-12-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.8,47367.05,100000,515.91,128.98,1,1,67.85,0.0,0,0,0
P10003,2024-01-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,60.9,47367.05,100000,515.91,128.98,1,1,42.6,0.0,0,0,0
P10003,2024-02-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.0,47367.05,100000,515.91,128.98,2,0,36.55,0.0,0,0,0
P10003,2024-03-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.1,47367.05,100000,515.91,128.98,3,1,97.52,0.0,0,0,0
P10003,2024-04-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.2,47367.05,100000,515.91,85.99,3,1,70.37,0.0,0,0,0
P10003,2024-05-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.2,47367.05,100000,515.91,128.98,2,3,39.1,0.0,0,0,0
P10003,2024-06-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.3,47367.05,100000,515.91,128.98,2,1,101.05,0.0,0,0,0
P10003,2024-07-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.4,47367.05,100000,515.91,128.98,1,1,92.6,0.0,0,0,0
P10003,2024-08-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.5,47367.05,100000,515.91,85.99,1,0,88.7,0.0,0,0,0
P10003,2024-09-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.6,47367.05,100000,515.91,85.99,1,1,88.66,0.0,0,0,0
P10003,2024-10-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.7,47367.05,100000,515.91,85.99,1,1,153.78,0.0,0,0,0
P10003,2024-11-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.8,47367.05,100000,515.91,128.98,1,0,117.09,0.0,0,0,0
P10003,2024-12-01,2023-02-01,active,Indexed Universal Life,AZ,urban,Direct,monthly,0,61.8,47367.05,100000,515.91,128.98,1,1,153.55,0.0,0,0,0
P10004,2023-01-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,39.4,81608.88,1000000,277.33,831.99,0,6,936.62,0.0,0,0,0
P10004,2023-02-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,39.5,81608.88,1000000,277.33,831.99,0,3,1012.58,0.0,0,0,0
P10004,2023-03-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,39.6,81608.88,1000000,277.33,831.99,0,2,1949.24,0.0,0,0,0
P10004,2023-04-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,39.7,81608.88,1000000,277.33,831.99,0,3,850.83,0.0,0,0,0
P10004,2023-05-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,39.8,81608.88,1000000,277.33,554.66,0,4,1596.02,0.0,0,0,0
P10004,2023-06-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,39.8,81608.88,1000000,277.33,831.99,0,2,1917.74,0.0,0,0,0
P10004,2023-07-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,39.9,81608.88,1000000,277.33,831.99,0,2,2061.49,0.0,0,1,0
P10004,2023-08-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.0,81608.88,1000000,277.33,831.99,0,4,1661.3,0.0,0,0,0
P10004,2023-09-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.1,81608.88,1000000,277.33,831.99,1,3,925.97,0.0,0,0,0
P10004,2023-10-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.2,81608.88,1000000,277.33,554.66,1,2,2079.4,0.0,0,0,0
P10004,2023-11-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.2,81608.88,1000000,277.33,554.66,1,2,1313.05,411.1,0,0,0
P10004,2023-12-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.3,81608.88,1000000,277.33,831.99,1,2,1997.93,0.0,1,0,0
P10004,2024-01-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.4,81608.88,1000000,277.33,831.99,1,2,2617.47,0.0,0,0,0
P10004,2024-02-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.5,81608.88,1000000,277.33,831.99,2,4,2638.49,0.0,0,0,0
P10004,2024-03-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.6,81608.88,1000000,277.33,831.99,3,3,2373.16,0.0,0,0,0
P10004,2024-04-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.7,81608.88,1000000,277.33,831.99,3,2,2418.21,0.0,0,0,0
P10004,2024-05-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.8,81608.88,1000000,277.33,831.99,3,2,2580.07,0.0,0,1,0
P10004,2024-06-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.8,81608.88,1000000,277.33,831.99,3,3,2321.02,0.0,0,0,0
P10004,2024-07-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,40.9,81608.88,1000000,277.33,831.99,3,2,2096.11,0.0,0,0,0
P10004,2024-08-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,41.0,81608.88,1000000,277.33,831.99,2,4,1102.16,0.0,0,0,0
P10004,2024-09-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,41.1,81608.88,1000000,277.33,554.66,1,2,1933.26,0.0,0,0,0
P10004,2024-10-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,41.2,81608.88,1000000,277.33,831.99,2,3,3045.21,0.0,0,0,0
P10004,2024-11-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,41.2,81608.88,1000000,277.33,831.99,2,2,2411.79,0.0,0,0,0
P10004,2024-12-01,2019-08-01,active,Indexed Universal Life,CA,urban,Broker,annual,0,41.3,81608.88,1000000,277.33,554.66,2,2,1971.21,0.0,0,0,0
P10005,2023-01-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.1,25773.7,250000,92.46,277.37,0,2,733.23,0.0,0,0,0
P10005,2023-02-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.2,25773.7,250000,92.46,277.37,0,1,886.21,0.0,0,0,0
P10005,2023-03-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.2,25773.7,250000,92.46,277.37,0,1,746.12,0.0,0,0,0
P10005,2023-04-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.3,25773.7,250000,92.46,277.37,0,1,917.31,207.55,0,0,0
P10005,2023-05-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.4,25773.7,250000,92.46,277.37,0,1,808.48,0.0,1,0,0
P10005,2023-06-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.5,25773.7,250000,92.46,277.37,0,2,627.15,0.0,0,0,0
P10005,2023-07-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.6,25773.7,250000,92.46,277.37,0,1,1291.15,0.0,0,0,0
P10005,2023-08-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.7,25773.7,250000,92.46,277.37,0,1,1094.3,0.0,0,1,0
P10005,2023-09-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.8,25773.7,250000,92.46,277.37,0,3,785.71,0.0,0,0,0
P10005,2023-10-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.8,25773.7,250000,92.46,277.37,0,2,1061.68,0.0,0,1,0
P10005,2023-11-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,64.9,25773.7,250000,92.46,277.37,0,1,560.91,0.0,0,0,0
P10005,2023-12-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.0,25773.7,250000,92.46,277.37,0,2,742.65,0.0,0,0,0
P10005,2024-01-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.1,25773.7,250000,92.46,277.37,0,2,485.36,0.0,0,0,0
P10005,2024-02-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.2,25773.7,250000,92.46,277.37,0,1,581.0,0.0,0,0,0
P10005,2024-03-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.2,25773.7,250000,92.46,277.37,0,3,1276.43,0.0,0,0,0
P10005,2024-04-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.3,25773.7,250000,92.46,277.37,0,2,998.88,0.0,0,0,0
P10005,2024-05-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.4,25773.7,250000,92.46,184.91,0,1,615.39,0.0,0,0,0
P10005,2024-06-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.5,25773.7,250000,92.46,184.91,0,1,1313.81,0.0,0,0,0
P10005,2024-07-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.6,25773.7,250000,92.46,277.37,0,2,681.27,0.0,0,0,0
P10005,2024-08-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.7,25773.7,250000,92.46,277.37,0,1,1292.9,0.0,0,0,0
P10005,2024-09-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.8,25773.7,250000,92.46,277.37,0,2,753.48,0.0,0,0,0
P10005,2024-10-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.8,25773.7,250000,92.46,277.37,0,2,986.37,0.0,0,0,0
P10005,2024-11-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,65.9,25773.7,250000,92.46,277.37,0,2,1154.92,0.0,0,0,0
P10005,2024-12-01,2016-12-01,active,Indexed Universal Life,NJ,suburban,Bank,annual,1,66.0,25773.7,250000,92.46,277.37,0,1,1163.95,0.0,0,0,0
P10006,2023-01-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,41.6,59471.17,150000,166.31,124.73,0,0,40.68,0.0,0,1,0
P10006,2023-02-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,41.7,59471.17,150000,166.31,83.15,0,0,40.75,0.0,0,0,0
P10006,2023-03-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,41.8,59471.17,150000,166.31,124.73,0,1,34.27,0.0,0,0,0
P10006,2023-04-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,41.8,59471.17,150000,166.31,124.73,0,1,49.74,26.15,0,0,0
P10006,2023-05-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,41.9,59471.17,150000,166.31,124.73,0,0,70.8,0.0,0,0,0
P10006,2023-06-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.0,59471.17,150000,166.31,83.15,0,1,37.87,0.0,0,0,0
P10006,2023-07-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.1,59471.17,150000,166.31,124.73,0,2,36.85,0.0,0,0,0
P10006,2023-08-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.2,59471.17,150000,166.31,124.73,0,0,50.02,0.0,0,0,0
P10006,2023-09-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.2,59471.17,150000,166.31,124.73,1,0,89.44,19.64,0,0,0
P10006,2023-10-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.3,59471.17,150000,166.31,124.73,1,1,119.48,0.0,0,0,0
P10006,2023-11-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.4,59471.17,150000,166.31,83.15,1,1,73.6,0.0,0,0,0
P10006,2023-12-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.5,59471.17,150000,166.31,124.73,1,0,57.22,0.0,1,0,0
P10006,2024-01-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.6,59471.17,150000,166.31,83.15,1,0,99.34,0.0,0,0,0
P10006,2024-02-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.7,59471.17,150000,166.31,124.73,1,2,89.26,0.0,0,0,0
P10006,2024-03-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.8,59471.17,150000,166.31,124.73,1,2,146.87,0.0,0,0,0
P10006,2024-04-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.8,59471.17,150000,166.31,124.73,1,0,129.55,0.0,0,0,0
P10006,2024-05-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,42.9,59471.17,150000,166.31,83.15,1,0,91.41,0.0,0,0,0
P10006,2024-06-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,43.0,59471.17,150000,166.31,124.73,1,1,62.38,0.0,0,0,0
P10006,2024-07-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,43.1,59471.17,150000,166.31,124.73,1,1,142.68,0.0,1,0,0
P10006,2024-08-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,43.2,59471.17,150000,166.31,124.73,0,0,150.02,0.0,0,0,0
P10006,2024-09-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,43.2,59471.17,150000,166.31,124.73,0,1,99.78,0.0,0,0,0
